"RawData - File_210319_171149.spc"
"Wavelength nm."	"Abs."
992.00	0.045
993.00	0.045
994.00	0.045
995.00	0.045
996.00	0.045
997.00	0.045
998.00	0.045
999.00	0.045
1000.00	0.045
1001.00	0.045
1002.00	0.045
1003.00	0.045
1004.00	0.045
1005.00	0.045
1006.00	0.045
1007.00	0.045
1008.00	0.045
1009.00	0.045
1010.00	0.045
1011.00	0.045
1012.00	0.045
1013.00	0.045
1014.00	0.045
1015.00	0.045
1016.00	0.045
1017.00	0.045
1018.00	0.045
1019.00	0.045
1020.00	0.045
1021.00	0.045
1022.00	0.045
1023.00	0.045
1024.00	0.045
1025.00	0.045
1026.00	0.045
1027.00	0.045
1028.00	0.045
1029.00	0.045
1030.00	0.045
1031.00	0.045
1032.00	0.045
1033.00	0.045
1034.00	0.045
1035.00	0.045
1036.00	0.045
1037.00	0.045
1038.00	0.045
1039.00	0.045
1040.00	0.045
1041.00	0.045
1042.00	0.045
1043.00	0.045
1044.00	0.045
1045.00	0.045
1046.00	0.045
1047.00	0.045
1048.00	0.045
1049.00	0.045
1050.00	0.045
1051.00	0.045
1052.00	0.045
1053.00	0.045
1054.00	0.045
1055.00	0.045
1056.00	0.045
1057.00	0.045
1058.00	0.045
1059.00	0.045
1060.00	0.045
1061.00	0.045
1062.00	0.045
1063.00	0.045
1064.00	0.045
1065.00	0.045
1066.00	0.045
1067.00	0.045
1068.00	0.045
1069.00	0.045
1070.00	0.045
1071.00	0.045
1072.00	0.045
1073.00	0.045
1074.00	0.045
1075.00	0.045
1076.00	0.045
1077.00	0.045
1078.00	0.045
1079.00	0.045
1080.00	0.045
1081.00	0.045
1082.00	0.045
1083.00	0.045
1084.00	0.045
1085.00	0.045
1086.00	0.045
1087.00	0.045
1088.00	0.045
1089.00	0.045
1090.00	0.045
1091.00	0.045
1092.00	0.045
1093.00	0.045
1094.00	0.045
1095.00	0.045
1096.00	0.045
1097.00	0.045
1098.00	0.045
1099.00	0.045
1100.00	0.045
